Path, MIP, Institute, Model, Experiment, Ensemble, Table, Variable, Allocation (TB), Current Usage (TB), Percent used
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-LM/highresSST-present, HighResMIP, MOHC, HadGEM3-GC31-LM, highresSST-present, , , , 2.68, 2.68, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-MM/highresSST-present, HighResMIP, MOHC, HadGEM3-GC31-MM, highresSST-present, , , , 9.68, 9.6, 99.17
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/Amon, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, Amon, , 0.49, 0.36, 73.47
/badc/cmip6/data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/highresSST-present, HighResMIP, CMCC, CMCC-CM2-HR4, highresSST-present, , , , 0.7, 0.26, 37.14
/badc/cmip6/data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/highresSST-present, HighResMIP, CMCC, CMCC-CM2-VHR4, highresSST-present, , , , 10.3, 7.17, 69.61
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/highresSST-present/r1i1p1f1/Amon, HighResMIP, ECMWF, ECMWF-IFS-HR, highresSST-present, r1i1p1f1, Amon, , 0.05, 0.05, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-LR/highresSST-present, HighResMIP, ECMWF, ECMWF-IFS-LR, highresSST-present, , , , 3.42, 3.41, 99.71
/badc/cmip6/data/CMIP6/HighResMIP/MPI-M/MPI-ESM1-2-HR/highresSST-present, HighResMIP, MPI-M, MPI-ESM1-2-HR, highresSST-present, , , , 0.78, 0.77, 98.72
/badc/cmip6/data/CMIP6/HighResMIP/MPI-M/MPI-ESM1-2-XR/highresSST-present, HighResMIP, MPI-M, MPI-ESM1-2-XR, highresSST-present, , , , 2.81, 2.8, 99.64
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/highresSST-present/r1i1p1f1/day, HighResMIP, ECMWF, ECMWF-IFS-HR, highresSST-present, r1i1p1f1, day, , 0.84, 0.83, 98.81
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/highresSST-present/r1i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-HR, highresSST-present, r1i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/highresSST-present/r1i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-HR, highresSST-present, r1i1p1f1, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/highresSST-present/r1i1p1f1/6hrPlev, HighResMIP, ECMWF, ECMWF-IFS-HR, highresSST-present, r1i1p1f1, 6hrPlev, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/Lmon, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, Lmon, , 0.01, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/Emon, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, Emon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/SIday, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, SIday, , 0.01, 0.01, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/AERmon, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, AERmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/Eday, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, Eday, , 0.14, 0.14, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/day, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, day, , 2.44, 2.43, 99.59
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/CFmon, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, CFmon, , 0.88, 0.88, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/6hrPlev, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, 6hrPlev, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/3hr, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, 3hr, , 5.25, 5.24, 99.81
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/E3hr, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, E3hr, , 0.88, 0.88, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highresSST-present/r1i1p1f1/E1hr, HighResMIP, MOHC, HadGEM3-GC31-HM, highresSST-present, r1i1p1f1, E1hr, , 1.68, 1.68, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-HR/highresSST-present/r1i1p1f1/6hrPlevPt, HighResMIP, ECMWF, ECMWF-IFS-HR, highresSST-present, r1i1p1f1, 6hrPlevPt, , 1.64, 1.64, 100.0
