Path, Allocation (TB), Current Usage (TB), Percent used, New Allocation (TB), Saving (TB), Accumulated saving (TB)
/badc/cmip6/data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/amip, 2.06, 0.65, 31.55, 1.236, 0.8240000000000001, 0.8240000000000001
/badc/cmip6/data/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/amip, 0.94, 0.21, 22.34, 0.564, 0.376, 1.2000000000000002
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-AM4/amip, 1.8, 0.06, 3.33, 0.9, 0.9, 2.1
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-p4K, 0.07, 0.0, 0.0, 0.07, 0.0, 2.1
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-4xCO2, 1.03, 0.05, 4.85, 0.515, 0.515, 2.615
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-future4K, 0.28, 0.01, 3.57, 0.168, 0.11200000000000002, 2.7270000000000003
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-p4K-lwoff, 0.24, 0.04, 16.67, 0.144, 0.096, 2.8230000000000004
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/1pctCO2, 1.76, 0.19, 10.8, 0.88, 0.88, 3.7030000000000003
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-lu, 0.09, 0.02, 22.22, 0.09, 0.0, 3.7030000000000003
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-lwoff, 0.24, 0.04, 16.67, 0.144, 0.096, 3.7990000000000004
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-4xCO2, 0.09, 0.02, 22.22, 0.09, 0.0, 3.7990000000000004
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-anthro, 0.09, 0.03, 33.33, 0.09, 0.0, 3.7990000000000004
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-m4K, 0.28, 0.01, 3.57, 0.168, 0.11200000000000002, 3.9110000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-control-lwoff, 0.07, 0.01, 14.29, 0.07, 0.0, 3.9110000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-control, 0.07, 0.0, 0.0, 0.07, 0.0, 3.9110000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-ghg, 0.09, 0.02, 22.22, 0.09, 0.0, 3.9110000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-spAer-aer, 0.1, 0.02, 20.0, 0.06, 0.04000000000000001, 3.9510000000000005
/badc/cmip6/data/CMIP6/RFMIP/IPSL/IPSL-CM6A-LR/piClim-spAer-anthro, 0.1, 0.03, 30.0, 0.06, 0.04000000000000001, 3.9910000000000005
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/aqua-4xCO2, 0.07, 0.0, 0.0, 0.07, 0.0, 3.9910000000000005
/badc/cmip6/data/CMIP6/ISMIP6/NASA-GISS/GISS-E2-1-G/1pctCO2-4xext, 0.09, 0.0, 0.0, 0.09, 0.0, 3.9910000000000005
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Lmon, 0.06, 0.0, 0.0, 0.06, 0.0, 3.9910000000000005
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/abrupt-4xCO2, 1.62, 1.62, 100.0, 1.62, 0.0, 3.9910000000000005
/badc/cmip6/data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Amon, 0.36, 0.19, 52.78, 0.288, 0.07200000000000001, 4.063000000000001
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/amip-p4K, 1.03, 0.01, 0.97, 0.515, 0.515, 4.578
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-0p5xCO2, 1.03, 0.26, 25.24, 0.515, 0.515, 5.093
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-2xCO2, 1.03, 0.26, 25.24, 0.515, 0.515, 5.608
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solm4p, 1.03, 0.3, 29.13, 0.515, 0.515, 6.122999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-piControl, 0.91, 0.44, 48.35, 0.546, 0.364, 6.486999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical, 3.88, 3.61, 93.04, 3.88, 0.0, 6.486999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/piControl, 2.32, 0.86, 37.07, 1.392, 0.9279999999999999, 7.414999999999999
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/1pctCO2, 1.82, 0.44, 24.18, 0.91, 0.91, 8.325
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical, 90.2, 59.21, 65.64, 72.16000000000001, 18.039999999999992, 26.36499999999999
/badc/cmip6/data/CMIP6/CMIP/MIROC/MIROC6/amip, 1.88, 0.31, 16.49, 0.94, 0.94, 27.304999999999993
/badc/cmip6/data/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl, 3.83, 3.83, 100.0, 3.83, 0.0, 27.304999999999993
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-ExTrop-neg, 1.76, 0.25, 14.2, 0.88, 0.88, 28.18499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-Trop-neg, 1.76, 0.25, 14.2, 0.88, 0.88, 29.06499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-Trop-pos, 1.76, 0.25, 14.2, 0.88, 0.88, 29.94499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-pos, 1.76, 0.49, 27.84, 0.88, 0.88, 30.82499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-atl-control, 1.76, 0.25, 14.2, 0.88, 0.88, 31.704999999999988
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 31.98499999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 32.264999999999986
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-pos, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 32.54499999999999
/badc/cmip6/data/CMIP6/GeoMIP/IPSL/IPSL-CM6A-LR/G1, 1.01, 0.15, 14.85, 0.505, 0.505, 33.04999999999999
/badc/cmip6/data/CMIP6/CFMIP/IPSL/IPSL-CM6A-LR/abrupt-solp4p, 1.03, 0.3, 29.13, 0.515, 0.515, 33.56499999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2, 1.03, 0.22, 21.36, 0.515, 0.515, 34.07999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-CSM2-MR/esm-hist, 3.57, 3.57, 100.0, 3.57, 0.0, 34.07999999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/historical, 2.22, 1.03, 46.4, 1.332, 0.8880000000000001, 34.96799999999999
/badc/cmip6/data/CMIP6/CMIP/BCC/BCC-ESM1/piControl, 1.02, 0.16, 15.69, 0.51, 0.51, 35.47799999999999
/badc/cmip6/data/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl, 0.28, 0.28, 100.0, 0.28, 0.0, 35.47799999999999
/badc/cmip6/data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl, 29.02, 32.49, 111.96, 29.02, 0.0, 35.47799999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-amv-neg, 1.76, 0.49, 27.84, 0.88, 0.88, 36.35799999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-ipv-NexTrop-neg, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 36.63799999999999
/badc/cmip6/data/CMIP6/DCPP/IPSL/IPSL-CM6A-LR/dcppC-pac-control, 0.7, 0.1, 14.29, 0.42, 0.27999999999999997, 36.91799999999999
